"Název","Podtitul","Celexové číslo","Datum dokumentu",
"Rozsudek Soudního dvora (sedmého senátu) ze dne 14. října 2021.#José Cánovas Pardo SL v. Club de Variedades Vegetales Protegidas.#Žádost o rozhodnutí o předběžné otázce podaná Tribunal Supremo.#Řízení o předběžné otázce – Odrůdová práva Společenství – Nařízení (ES) č. 2100/94 – Článek 96 – Výpočet lhůty pro promlčení nároků uvedených v článcích 94 a 95 – Začátek běhu lhůty – Den udělení odrůdového práva Společenství, jakož i den, ke kterému se držitel dověděl o úkonu a o totožnosti odpovědné strany – Den ukončení dotyčného jednání – Následné úkony – Pokračující úkony – Omezení na úkony provedené před více než třemi lety.#Věc C-186/18.","","62018CJ0186","2021-10-14",
"Rozsudek Soudního dvora (čtvrtého senátu) ze dne 9. září 2021.#Adler Real Estate AG a další v. Finanzmarktaufsichtsbehörde (FMA).#Žádost o rozhodnutí o předběžné otázce podaná Bundesverwaltungsgericht.#Řízení o předběžné otázce – Cenné papíry přijaté k obchodování na regulovaném trhu nacházejícím se nebo provozovaném v některém členském státě – Povinnost transparentnosti – Oznamování ‚významných účastí‘ nabytých na kapitálu společností ‚osobami jednajícími ve shodě‘ – Směrnice 2004/109/ES – Článek 3 odst.1a čtvrtý pododstavec – Pojem ‚přísnější požadavky‘ – Směrnice 2004/25/ES – ‚Dohled‘ ze strany orgánu určeného podle článku 4 této směrnice.#Věc C-605/18.","","62018CJ0605","2021-09-09",
"Rozsudek Soudního dvora (čtvrtého senátu) ze dne 9. září 2021.#FN a další v. Übernahmekommission.#Žádost o rozhodnutí o předběžné otázce podaná Bundesverwaltungsgericht.#Řízení o předběžné otázce – Právo společností – Nabídky převzetí – Směrnice 2004/25/ES – Článek 5 – Povinná nabídka – Článek 4 – Dozorčí orgán – Pravomocné rozhodnutí, jímž se konstatuje porušení povinnosti předložit nabídku převzetí – Závaznost tohoto rozhodnutí v rámci pozdějšího řízení o správní sankci zahájeného týmž orgánem – Zásada efektivity unijního práva – Obecné zásady unijního práva – Právo se v řízení účinně hájit – Listina základních práv Evropské unie – Články 47 a 48 – Právo nevypovídat – Presumpce neviny – Přístup k nezávislému a nestrannému soudu.#Věc C-546/18.","","62018CJ0546","2021-09-09",
"Rozsudek Soudního dvora (čtvrtého senátu) ze dne 2. září 2021.#Evropská komise v. Spolková republika Německo.#Nesplnění povinnosti státem – Vnitřní trh s elektřinou a zemním plynem – Směrnice 2009/72/ES – Článek 2 bod 21 – Článek 19 odst. 3, 5 a 8 – Článek 37 odst. 1 písm. a) a odst. 6 písm. a) a b) – Směrnice 2009/73/ES – Článek 2 bod 20 – Článek 19 odst. 3, 5 a 8 – Článek 41 odst. 1 písm. a) a odst. 6 písm. a) a b) – Pojem ‚vertikálně integrovaný podnik‘ – Účinné oddělení mezi přenosovými soustavami a činnostmi výroby a dodávek elektřiny a zemního plynu – Nezávislý provozovatel přenosové soustavy – Nezávislost zaměstnanců a vedení tohoto provozovatele – Přechodná období – Podíly na základním kapitálu vertikálně integrovaného podniku – Vnitrostátní regulační orgány – Nezávislost – Výlučné pravomoci – Článek 45 SFEU – Volný pohyb pracovníků – Listina základních práv Evropské unie – Článek 15 – Právo pracovat a vykonávat povolání – Článek 17 – Právo na vlastnictví – Článek 52 odst. 1 – Meze – Zásada demokracie.#Věc C-718/18.","","62018CJ0718","2021-09-02",
"Rozsudek Soudního dvora (velkého senátu) ze dne 15. července 2021.#IX v. WABE eV a MH Müller Handel GmbH v. MJ.#Žádosti o rozhodnutí o předběžné otázce podané Arbeitsgericht Hamburg a Bundesarbeitsgericht.#Řízení o předběžné otázce – Sociální politika – Směrnice 2000/78/ES – Rovné zacházení v zaměstnání a povolání – Diskriminace na základě náboženského vyznání nebo víry – Interní pravidlo soukromého podniku, které zakazuje na pracovišti viditelné nošení jakéhokoliv politického, filozofického nebo náboženského symbolu nebo nošení nápadných a rozměrných politických, filozofických nebo náboženských symbolů – Přímá nebo nepřímá diskriminace – Přiměřenost – Vyvážení svobody náboženského vyznání a jiných základních práv – Legitimita politiky neutrality přijaté zaměstnavatelem – Nezbytnost prokázat existenci hospodářské újmy zaměstnavatele.#Spojené věci C-804/18 a C-341/19.","","62018CJ0804","2021-07-15",
"Rozsudek Soudního dvora (velkého senátu) ze dne 22. června 2021.#Frank Peterson v. Google LLC a další a Elsevier Inc. v. Cyando AG.#Žádosti o rozhodnutí o předběžné otázce podané Bundesgerichtshof.#Řízení o předběžné otázce – Duševní vlastnictví – Autorské právo a práva s ním související – Zpřístupnění a správa platformy pro sdílení videí nebo platformy pro ukládání a sdílení souborů – Odpovědnost provozovatele za porušování práv duševního vlastnictví, jichž se dopustili uživatelé jeho platformy – Směrnice 2001/29/ES – Článek 3 a čl. 8 odst. 3 – Pojem ‚sdělování veřejnosti‘ – Směrnice 2000/31/ES – Články 14 a 15 – Podmínky pro využití zproštění odpovědnosti – Neseznámení se s konkrétními porušeními – Oznámení takových porušení jakožto podmínka pro vydání soudního příkazu.#Spojené věci C-682/18 a C-683/18.","","62018CJ0682","2021-06-22",
"Rozsudek Soudního dvora (sedmého senátu) ze dne 3. června 2021.#Evropská komise v. Spolková republika Německo.#Věc C-635/18.","","62018CJ0635","2021-06-03",
"Rozsudek Soudního dvora (čtvrtého senátu) ze dne 3. června 2021.#The Yokohama Rubber Co. Ltd a Úřad Evropské unie pro duševní vlastnictví (EUIPO) v. Pirelli Tyre SpA.#Spojené věci C-818/18 P a C-6/19 P.","","62018CJ0818","2021-06-03",
"Rozsudek Soudního dvora (velkého senátu) ze dne 3. června 2021.#Maďarsko v. Evropský parlament.#Žaloba na neplatnost – Článek 7 odst. 1 SEU – Usnesení Evropského parlamentu o návrhu, který vybízí Radu Evropské unie, aby učinila zjištění, že existuje zřejmé nebezpečí závažného porušení hodnot, na nichž je Unie založena – Články 263 a 269 SFEU – Pravomoc Soudního dvora – Přípustnost žaloby – Napadnutelný akt – Článek 354 SFEU – Pravidla počítání hlasů v Parlamentu – Jednací řád Parlamentu – Článek 178 odst. 3 – Pojem ‚odevzdané hlasy‘ – Zdržení se hlasování – Zásady právní jistoty, rovného zacházení, demokracie a loajální spolupráce.#Věc C-650/18.","","62018CJ0650","2021-06-03",
"Rozsudek Soudního dvora (prvního senátu) ze dne 6. května 2021.#Bayer CropScience AG a Bayer AG v. Evropská komise.#Kasační opravný prostředek – Nařízení (ES) č. 1107/2009 – Články 4 a 21 – Kritéria schválení – Přezkoumání schválení – Přípravky na ochranu rostlin – Prováděcí nařízení (EU) č. 485/2013 – Účinné látky klothianidin a imidakloprid – Osivo ošetřené přípravky na ochranu rostlin obsahujícími tyto účinné látky – Zákaz neprofesionálního použití – Zásada obezřetnosti.#Věc C-499/18 P.","","62018CJ0499","2021-05-06",
